dependencia_origen,clave,nombre_oficial,descripcion,tramite_o_servicio,tipos_atencion_ids
Oficialia Mayor,OF-DA-001,Inscripción en el Padrón de Proveedores del H. Ayuntamiento de Tuxtla Gutiérrez,"Trámite por medio el cual las personas se inscriben en el padrón de proveedores municipal para que por ley puedan celebrar pedidos o contratos de adquisiciones, arrendamiento y prestación de servicios con el Municipio de Tuxtla Gutiérrez.",TRUE,0
Economia,SE-DFE-001,Factibilidad de Uso y Destino de Suelo y Licencia de Funcionamiento SARE,"Trámite de Apertura Rápida de Empresas de bajo riesgo para la salud, seguridad y el medio ambiente que no excedan una superficie de 400m2, con el fin de poder obtener la Factibilidad de Uso de Suelo y Licencia de Funcionamiento en un lapso no mayor a 3 días hábiles, realizando los trámites en un mismo lugar de forma ágil, trasparente y honesta.",TRUE,0|2
Economia,SE-DFE-002,Sistema Unico de Busqueda de Empleo (SUBE),"Un espacio para que el ciudadano en búsqueda de empleo pueda encontrar diversas vacantes de acuerdo a su perfil, así como un espacio para las empresas donde se promoverán sus vacantes de manera gratuita enviándoles personal solo con el perfil requerido .",TRUE,0|2
Economia,SE-DFE-003,Tuxtla Emprende,"Base de datos para registro de emprenderores, para poderlos organizar y generar ventas en espacios públicos como las ferias comerciales agronomicas",TRUE,0
Protección civil,SPCM-DIRRIE-001,Dictamen de cumplimiento de las medidas del programa interno de Protección Civil,"El documento acredita que el inmueble y personal que labora en él, ha cumplido con los requisitos de seguridad y capacitación en materia de Protección Civil.",TRUE,0
Protección civil,SPCM-DIRRIE-002,Oficio de obligaciones en materia de protección civil para eventos masivos,"El documento Acredita que el organizador y/o empresario, ha cumplido con los requisitos solicitados de Seguridad en materia de Protección Civil para mitigar riesgos durante la realización del evento.",TRUE,0
Protección civil,SPCM-DIRRIE-003,Constancia de Afectación,"Elaboración de las constancias de afectación, solicitadas por la ciudadanía, derivada de la ocurrencia de siniestros de origen natural o antropogénicos",TRUE,0
Protección civil,SPCM-DIRRIE-004,Constancia de Valoración de Riesgo,"Documento que determina la existencia de algún riesgo de acuerdo al peligro, grado de exposición y vulnerabilidad en inmuebles, vialidades, colonias, o trabajos de obra pública, de acuerdo al atlas de peligros y/o riesgos, carta urbana o antecedentes previstos, en la que se emiten obligaciones y recomendaciones, se expide a solicitud de instancias públicas o particulares;",TRUE,0
Protección civil,SPCM-DIRRIE-005,"Revisión, validación y seguimiento de los Estudios de Impacto Pluvial para edificios, plazas y fraccionamientos nuevos","Revisar, validar, autorizar y vigilar el cumplimiento de los estudios de “impacto pluvial” y sus obligaciones de las obras necesarias que garanticen el impacto pluvial, que presenten los directores responsables de obra para la obtención de la “licencia de construcción” de obras civiles ,como fraccionamientos, unidades habitacionales, naves y patios industriales, plazas Página 16 Presidencia Municipal comerciales, mercados, estacionamientos, edificaciones y toda obra civil particular o publica comerciales, mercados, estacionamientos, edificaciones y toda obra civil particular o publica enen general que modifique el uso del suelo natural o de las condiciones naturales de general que modifique el uso del suelo natural o de las condiciones naturales de escurrimiento e infiltración del terreno;escurrimiento e infiltración del terreno",TRUE,0
Protección civil,SPCM-DAEC-001,"Por otorgar los servicios de vehículo de ataque rápido para combate de incendio en eventos masivos, organizados por particulares con fines de lucro, por hora.",Servicio brindado a las personas que soliciten el servicio dee vehículo de ataque rápido para combate de incendio en eventos masivos organizados por particulares con fines de lucro,TRUE,0
